metadata_alive,metadata_alive_since,metadata_anonymity,metadata_average_timeout,metadata_first_seen,metadata_asn,metadata_asname,metadata_city,metadata_continent,metadata_continent_code,metadata_country,metadata_country_code,metadata_district,metadata_hosting,metadata_isp,metadata_latitude,metadata_longitude,metadata_mobile,metadata_org,metadata_proxy,metadata_region,metadata_status,metadata_timezone,metadata_zip,metadata_last_update,metadata_last_seen,dest_port,metadata_protocol,metadata_proxy_address,metadata_ssl,metadata_timeout,metadata_times_alive,metadata_times_dead,metadata_uptime,dest_ip
True,1790481877.8464,elite,737.09378957728,1790366436.6477,AS42673 Skyware Sp. z o.o.,SKYWARE-AS,Rzeszów,Europe,EU,Poland,PL,,False,Skyware Sp. z o.o.,50.0439,21.9587,False,Skyware Sp. z o.o,True,Subcarpathia,success,Europe/Warsaw,35-505,1790363320,1790483184.0082,1080,socks4,91.150.189.122:1080,True,181.68544769287,11709,74,99.371976576424,91.150.189.122
True,1790482967.6769,elite,2972.4699200076,1783547800.5684,AS23969 TOT Public Company Limited,TOT-NET,Bangkok,Asia,AS,Thailand,TH,,False,TOT Public Company Limited,13.7663,100.6503,False,TOT Mobile Co LTD,True,Bangkok,success,Asia/Bangkok,10240,1790200615,1790483183.9122,4153,socks4,1.20.254.32:4153,True,854.27832603455,182150,175905,50.872072726257,1.20.254.32
True,1790441382.8086,elite,747.18196218056,1789988019.5822,AS51167 Contabo GmbH,CONTABO,Lauterbourg,Europe,EU,France,FR,,True,Contabo GmbH,48.9742,8.1851,False,Contabo GmbH,False,Grand Est,success,Europe/Paris,67630,1789986408,1790483183.7847,1081,socks4,95.111.228.190:1081,True,20.061492919922,44054,3656,92.337036260742,95.111.228.190
True,1790483112.1181,elite,1039.1160568135,1768255003.7429,AS7552 Viettel Group,VIETEL-AS-AP,Hanoi,Asia,AS,Vietnam,VN,,False,Viettel Corporation,21.0184,105.8461,True,VIETEL,False,Hanoi,success,Asia/Bangkok,100000,1790254999,1790483183.679,1080,socks4,171.253.61.2:1080,True,1025.4771709442,6710,8686,43.582748765913,171.253.61.2
True,1790483183.6692,elite,1698.9964567476,1784820946.4563,AS274029 KAZAV LATAM E.I.R.L.,KAZAV LATAM E.I.R.L.,Ayacucho,South America,SA,Peru,PE,,False,Kazav Latam E.I.R.L.,-13.1603,-74.2257,False,,True,Ayacucho,success,America/Lima,,1790263934,1790483183.6692,1080,socks4,38.226.49.121:1080,True,972.16272354126,24588,164513,13.002575343335,38.226.49.121
True,1790479168.1405,elite,56.936291594002,1790479168.1405,AS49981 WorldStream B.V.,WorldStream,Naaldwijk,Europe,EU,The Netherlands,NL,,True,WorldStream B.V.,51.9968,4.2057,False,Worldstream,False,South Holland,success,Europe/Amsterdam,2671,1790476604,1790483183.6389,1080,socks4,62.112.10.232:1080,True,61.598777770996,398,0,100.0,62.112.10.232
True,1790483150.4748,elite,1728.0008234858,1776090123.9402,"AS10109 Topica LLC, Internet Service Provider,Ulaanbaatar, Mongolia",TOPNET-AS-MN-AP,Ulan Bator,Asia,AS,Mongolia,MN,,False,"Topica Co., Ltd",47.9077,106.883,False,"Topica Co., Ltd",True,Ulaanbaatar,success,Asia/Ulaanbaatar,,1789997191,1790483183.3738,8069,socks4,119.40.98.27:8069,True,1917.6545143127,101446,369156,21.556644468149,119.40.98.27
True,1790483182.0295,elite,3719.7825721832,1783285234.3947,AS11014 CPS,CPS,Monte Chingolo,South America,SA,Argentina,AR,,False,CPS,-34.7296,-58.3542,False,CPS,True,Buenos Aires,success,America/Argentina/Buenos_Aires,1825,1789935023,1790483183.373,1085,socks4,190.111.243.150:1085,True,1118.1781291962,85524,212094,28.736165151301,190.111.243.150
True,1790482983.8117,elite,3463.5442931991,1786347957.4158,AS38235 ANGKOR DATA COMMUNICATION,MEKONGNET-ADC-AS-AP,Phnom Penh,Asia,AS,Cambodia,KH,,False,MekongNet,11.5583,104.9121,False,,True,Phnom Penh,success,Asia/Phnom_Penh,,1789973426,1790483183.3213,1080,socks4,116.212.156.72:1080,True,991.97840690613,109988,108813,50.268508827656,116.212.156.72
True,1790483183.3147,elite,3496.7182267953,1696977260.1562,AS131090 National Telecom Public Company Limited,NTPCL-AS-AP,Bangkok,Asia,AS,Thailand,TH,,False,National Telecom Public Company Limited,13.8177,100.7465,False,CAT BB,True,Bangkok,success,Asia/Bangkok,10510,1790109049,1790483183.3147,4145,socks4,159.192.121.240:4145,True,1989.1936779022,360070,1038891,25.738387274556,159.192.121.240
True,1790483183.3112,elite,866.93591272819,1696984336.3239,AS46562 Performive LLC,PERFORMIVE,Atlanta,North America,,United States,US,,True,Performive LLC,33.7488,-84.3877,False,Performive LLC,True,Georgia,success,America/New_York,30302,1789972190,1790483183.3112,4145,socks4,192.111.130.2:4145,True,768.7246799469,469450,965658,32.711823779116,192.111.130.2
True,1790483112.7418,elite,7244.1090115896,1789628858.7124,AS219326 SULAVI LTD,SULAVIL,Eygelshoven,Europe,EU,The Netherlands,NL,,True,Secure Internet LLC,50.8933,6.05805,False,Internet Security - AU,True,Limburg,success,Europe/Amsterdam,6471,1790232352,1790483183.2925,29876,socks5,45.74.31.42:29876,True,1968.8742160797,2509,3872,39.319855821971,45.74.31.42
True,1790483145.8562,elite,3286.5506921496,1790350889.1647,AS203273 NetCrafters OU,NetCraftersOU,Stockholm,Europe,EU,Sweden,SE,,False,NetCrafters OU,59.3327,18.0656,False,RTM GmbH,False,Stockholm County,success,Europe/Stockholm,100 04,1790352552,1790483183.2911,40001,socks4,62.60.250.171:40001,True,163.15412521362,2703,4237,38.948126801153,62.60.250.171
True,1790483124.7758,elite,1128.2615388801,1790305421.3495,AS9927 Philippine Global Communications Corporation,PHILCOMNET-PH,Makati City,Asia,AS,Philippines,PH,,False,PhilCom Corporation,14.5562,121.0298,False,PhilCom Corporation,False,Metro Manila,success,Asia/Manila,1298,1790302487,1790483183.2602,4145,socks4,202.57.46.138:4145,True,1041.1431789398,12365,2811,81.477332630469,202.57.46.138
True,1790483183.2273,elite,2907.4067899203,1783209319.4241,AS37282 Main one Cable Company Nigeria Limited,MAINONE,Lagos,Africa,AF,Nigeria,NG,,False,Main one Cable Company Nigeria Limited,6.4474,3.3903,False,,True,Lagos,success,Africa/Lagos,,1790463574,1790483183.2273,4153,socks4,41.75.84.86:4153,True,610.51821708679,165221,194102,45.981192409058,41.75.84.86
True,1790483130.2528,elite,4605.0658434373,1776086382.5459,AS31898 Oracle Corporation,ORACLE-BMC-31898,Seoul,Asia,AS,South Korea,KR,,True,Oracle Corporation,37.5985,126.9783,False,Oracle Cloud Infrastructure (ap-seoul-1),True,Seoul,success,Asia/Seoul,02878,1790348109,1790483183.1443,3128,socks5,152.70.237.238:3128,True,1345.9784984589,84828,108622,43.850090462652,152.70.237.238
True,1790441392.3305,elite,915.61826111656,1790097494.4269,AS51167 Contabo GmbH,CONTABO,Lauterbourg,Europe,EU,France,FR,,True,Contabo GmbH,48.9742,8.1851,False,Contabo GmbH,False,Grand Est,success,Europe/Paris,67630,1790096734,1790483183.1194,1082,socks4,95.111.228.190:1082,True,44.311761856079,35437,2243,94.047239915074,95.111.228.190
True,1790483109.5956,elite,3235.901901446,1696974967.0995,AS13489 UNE EPM TELECOMUNICACIONES S.A.,UNE EPM TELECOMUNICACIONES S.A.,Cartagena,South America,SA,Colombia,CO,,False,EPM Telecomunicaciones S.A. E.S.P.,10.3956,-75.5117,False,Colombia Móvil,True,Departamento de Bolívar,success,America/Bogota,130001,1790319682,1790483183.0293,5678,socks4,181.204.4.74:5678,True,1860.3777885437,282644,1032256,21.49547494106,181.204.4.74
True,1790483132.2498,elite,2124.3642892529,1783188459.7046,AS20771 Caucasus Online Ltd.,CAUCASUS-CABLE-SYSTEM,Tbilisi,Asia,AS,Georgia,GE,,False,Caucasus Online Ltd.,41.6959,44.832,False,Caucasus Online Ltd,True,Tbilisi,success,Asia/Tbilisi,,1790446263,1790483182.978,4153,socks4,85.117.32.166:4153,True,282.61017799377,170866,187939,47.620852552222,85.117.32.166
True,1790483141.733,elite,2679.696865217,1776080998.8019,AS44963 Stavtelecom LLC,POTOK-AS,Zheleznovodsk,Europe,EU,Russia,RU,,False,KMVtelecom,44.0816,43.1349,False,JSC PP Potok,True,Stavropol Kray,success,Europe/Moscow,357430,1789989278,1790483182.9706,4145,socks4,92.42.8.5:4145,True,1385.8890533447,163475,366836,30.826251011199,92.42.8.5
True,1790483040.4438,elite,5936.2807926795,1789797180.328,AS219326 SULAVI LTD,SULAVIL,Eygelshoven,Europe,EU,The Netherlands,NL,,True,Secure Internet LLC,50.8933,6.05805,False,Internet Security - AU,True,Limburg,success,Europe/Amsterdam,6471,1790398234,1790483182.9579,7906,socks5,45.74.31.23:7906,True,588.33503723145,241,2050,10.519423832388,45.74.31.23
True,1790376506.5248,elite,1694.2710365702,1697032231.9881,AS6181 Cincinnati Bell Telephone Company LLC,FUSE-NET,Cincinnati,North America,,United States,US,,False,Fuse Internet Access,39.1256,-84.5127,False,Fuse Internet Access - BRAS Norwood Region,True,Ohio,success,America/New_York,45219,1790210107,1790483182.9233,31034,socks4,72.49.49.11:31034,True,850.7981300354,1328832,702844,65.405704452875,72.49.49.11
True,1790483182.8989,elite,6195.7367288733,1789686194.4128,AS219326 SULAVI LTD,SULAVIL,Eygelshoven,Europe,EU,The Netherlands,NL,,True,Secure Internet LLC,50.8933,6.05805,False,Internet Security - AU,True,Limburg,success,Europe/Amsterdam,6471,1790288327,1790483182.8989,11869,socks5,45.74.31.50:11869,True,2125.8358955383,2111,4065,34.180699481865,45.74.31.50
True,1790483037.4172,elite,6590.2771793428,1790401555.0977,AS219326 SULAVI LTD,SULAVIL,Eygelshoven,Europe,EU,The Netherlands,NL,,True,Secure Internet LLC,50.8933,6.05805,False,Internet Security - AU,True,Limburg,success,Europe/Amsterdam,6471,1790401205,1790483182.8691,10588,socks5,45.74.31.30:10588,True,1704.2143344879,61,346,14.987714987715,45.74.31.30
True,1790279762.7548,elite,2469.88853071,1776079055.8527,AS22773 Cox Communications Inc.,ASN-CXA-ALL-CCI-22773-RDC,Roanoke,North America,,United States,US,,False,Cox Communications Inc.,37.2681,-79.9404,False,Cox Communications Inc.,True,Virginia,success,America/New_York,24023,1789990927,1790483182.6257,15291,socks5,184.178.172.25:15291,True,1091.4418697357,183192,66325,73.418644821796,184.178.172.25
True,1790482863.3335,elite,3503.6938987153,1696969618.3766,AS131293 TOT Public Company Limited,TOT-LLI-AS-AP,Bangkok,Asia,AS,Thailand,TH,,False,TOT Public Company Limited,13.7499,100.517,False,TOT Public Company Limited,True,Bangkok,success,Asia/Bangkok,10200,1790146505,1790483182.6152,31948,socks4,1.179.151.165:31948,True,952.87084579468,360203,1116473,24.392825508101,1.179.151.165
True,1790400772.1987,anonymous,1165.4996350677,1756034724.8045,AS4788 TM TECHNOLOGY SERVICES SDN. BHD.,TTSSB-MY,Batu Caves,Asia,AS,Malaysia,MY,,False,ADSL Streamyx Telekom Malaysia,3.238,101.682,False,,True,Selangor,success,Asia/Kuala_Lumpur,68100,1790068231,1790483182.5579,80,http,219.93.101.62:80,False,645.61080932617,496224,40223,92.501961983197,219.93.101.62
True,1790483182.5525,elite,2907.4890171368,1783291256.0414,AS12975 PALTEL Autonomous System,PALTEL-AS,Ramallah,Asia,AS,Palestine,PS,,False,Palestine Telecommunications Company,31.9014,35.1999,False,PALTEL-FTTH,True,Ramallah and al-Bireh Governorate,success,Asia/Hebron,,1789942522,1790483182.5525,4145,socks4,103.231.105.158:4145,True,375.0536441803,117851,200924,36.969963140146,103.231.105.158
True,1790376179.9874,elite,2461.1198114428,1776081519.8652,AS22773 Cox Communications Inc.,ASN-CXA-ALL-CCI-22773-RDC,Pensacola,North America,,United States,US,,False,Cox Communications Inc.,30.4077,-87.219,False,Cox Communications,True,Florida,success,America/Chicago,32516,1790337050,1790483182.5424,4145,socks5,184.181.217.220:4145,True,1096.5781211853,178865,65565,73.176369512744,184.181.217.220
True,1790483182.5042,elite,3145.5193937965,1787553313.9659,AS23688 Link3 Technologies Ltd.,LINK3-TECH-AS-BD-AP,Dhaka,Asia,AS,Bangladesh,BD,,False,Link3 Technologies Limited,23.7534,90.3722,False,Corporate Subscriber,True,Dhaka Division,success,Asia/Dhaka,1209,1789968950,1790483182.5042,1080,socks4,27.147.218.182:1080,True,788.49577903748,56223,87809,39.035075538769,27.147.218.182
True,1790483142.5983,elite,618.81408959361,1790268601.2598,AS216246 Aeza Group LLC,RU-AEZA-AS,Moscow,Europe,EU,Russia,RU,,False,Aeza Group LLC,55.7487,37.6187,False,Aeza Network Moscow,True,Moscow,success,Europe/Moscow,101000,1790267425,1790483182.4414,10808,socks4,45.151.102.248:10808,True,181.32019042969,14884,4039,78.655604291074,45.151.102.248
True,1790482796.2161,elite,9693.1341839356,1769021211.2511,AS24940 Hetzner Online GmbH,HETZNER-AS,Nuremberg,Europe,EU,Germany,DE,,True,Hetzner Online GmbH,49.4527,11.0783,False,Hetzner Online GmbH,True,Bavaria,success,Europe/Berlin,90403,1789955386,1790483182.4332,47486,socks5,168.119.173.104:47486,True,65.72961807251,52821,94131,35.9443900049,168.119.173.104
True,1790483108.36,elite,2744.2079232189,1696982686.2662,AS22773 Cox Communications Inc.,ASN-CXA-ALL-CCI-22773-RDC,Irvine,North America,,United States,US,,False,Cox Communications Inc.,33.6846,-117.827,False,Cox Communications,True,California,success,America/Los_Angeles,92612,1790123059,1790483182.413,4145,socks4,72.195.114.184:4145,True,1950.2835273743,574381,1009396,36.26653247269,72.195.114.184
True,1790483142.7529,elite,2944.7866705476,1789753013.3633,AS16637 MTN SA,MTNNS-AS,Midrand,Africa,AF,South Africa,ZA,,False,MTN SA,-25.9766,28.1144,False,MTN SA,False,Gauteng,success,Africa/Johannesburg,1685,1790356823,1790483182.3917,5678,socks4,105.214.51.155:5678,True,907.87959098816,52454,12540,80.705911314891,105.214.51.155
True,1790481616.347,elite,10192.70576906,1786791947.2387,AS132165 Connect Communications,CONNECT-AS-AP,Tando Adam,Asia,AS,Pakistan,PK,,False,Connect Communication,25.8943,68.5247,False,WANGSU,True,Sindh,success,Asia/Karachi,68050,1790418809,1790483182.3403,10914,socks5,111.119.162.248:10914,True,2605.1766872406,33013,37211,47.010993392572,111.119.162.248
True,1790482896.601,elite,2513.7006197792,1776082506.009,AS12302 Vodafone Romania S.A.,Vodafone_Ro,Cârţişoara,Europe,EU,Romania,RO,,False,Vodafone RO,45.7167,24.5833,False,MobiFon S.A.,True,Sibiu County,success,Europe/Bucharest,557075,1789989092,1790483182.275,5678,socks4,81.12.157.98:5678,True,3216.9644832611,441758,305921,59.083911678675,81.12.157.98
True,1790482225.3001,elite,1191.2068927262,1776085014.2612,AS46562 Performive LLC,PERFORMIVE,El Segundo,North America,,United States,US,,False,PacketExchange,33.9263,-118.394,False,Total server solutions,True,California,success,America/Los_Angeles,90245,1790196519,1790483182.2629,4145,socks5,67.201.39.14:4145,True,964.43915367126,94018,78520,54.49118455065,67.201.39.14
True,1790463345.0168,elite,2467.1452095295,1776081854.2365,AS22773 Cox Communications Inc.,ASN-CXA-ALL-CCI-22773-RDC,Roanoke,North America,,United States,US,,False,Cox Communications Inc.,37.2681,-79.9404,False,Cox Communications Inc.,True,Virginia,success,America/New_York,24023,1789989965,1790483182.2542,15311,socks5,184.178.172.13:15311,True,1132.7443122864,183155,65831,73.5603608235,184.178.172.13
True,1790483008.0379,elite,5634.7450883707,1790449089.3586,AS202662 Hytron Network Services,AS-Hytron,Hong Kong,Asia,AS,Hong Kong,HK,,False,Vantiva USA Shared Services Inc.,22.3193,114.169,False,,False,Kowloon,success,Asia/Hong_Kong,999077,1790447728,1790483182.1671,10808,socks4,157.254.20.12:10808,True,1256.2162876129,1720,714,70.665571076417,157.254.20.12
True,1790481997.0409,elite,3913.334981753,1790186794.7971,"AS138156 CSNE Co., Ltd.",CSNE-NETPLAY-AS,Bangkok,Asia,AS,Thailand,TH,,False,"DEXSERVER by CSNE CO., LTD.",13.7551,100.5057,False,CSNE,False,Bangkok,success,Asia/Bangkok,10200,1790184097,1790483182.127,1081,socks4,102.129.229.131:1081,True,2160.1269245148,29719,481,98.407284768212,102.129.229.131
True,1790483136.8572,elite,3197.0703602836,1790308149.912,"AS132203 Tencent Building, Kejizhongyi Avenue",TENCENT-NET-AP-CN,Hong Kong,Asia,AS,Hong Kong,HK,,True,Aceville Pte.ltd,22.3193,114.169,False,,False,Kowloon,success,Asia/Hong_Kong,999077,1790304668,1790483182.1101,1080,socks4,101.32.60.93:1080,True,3227.5583744049,16719,560,96.759071705539,101.32.60.93
True,1790483034.9808,elite,4759.19375954,1790404833.3974,AS219326 SULAVI LTD,SULAVIL,Eygelshoven,Europe,EU,The Netherlands,NL,,True,Secure Internet LLC,50.8933,6.05805,False,Internet Security - AU,True,Limburg,success,Europe/Amsterdam,6471,1790401209,1790483182.0807,6120,socks5,45.74.31.25:6120,True,3040.3385162354,116,316,26.851851851852,45.74.31.25
True,1790482915.9296,elite,6695.3257091418,1789541313.0078,AS219326 SULAVI LTD,SULAVIL,Eygelshoven,Europe,EU,The Netherlands,NL,,True,Secure Internet LLC,50.8933,6.05805,False,Internet Security - AU,True,Limburg,success,Europe/Amsterdam,6471,1790142544,1790483182.05,13598,socks5,45.74.31.50:13598,True,2350.474357605,2092,5275,28.396905117415,45.74.31.50
True,1790483105.4973,elite,2192.5919409342,1710540237.4169,AS212637 LightNet Sh.p.k.,LightNet,Rrashbull,Europe,EU,Albania,AL,,False,Lightnet Sh.p.k.,41.3228,19.5103,False,Lightnet Sh.p.k,True,Durrës County,success,Europe/Tirane,,1790261985,1790483181.9739,4145,socks4,185.190.90.2:4145,True,1218.0562019348,288150,1042092,21.661472123117,185.190.90.2
True,1790483181.8125,elite,4555.78526726,1790175403.6662,AS219326 SULAVI LTD,SULAVIL,Eygelshoven,Europe,EU,The Netherlands,NL,,True,Secure Internet LLC,50.8933,6.05805,False,Internet Security - AU,True,Limburg,success,Europe/Amsterdam,6471,1790171693,1790483181.8125,8113,socks5,45.74.31.22:8113,True,1875.4410743713,487,1447,25.180972078594,45.74.31.22
True,1790482932.3053,elite,8091.6087980236,1786785724.4248,AS132165 Connect Communications,CONNECT-AS-AP,Tando Adam,Asia,AS,Pakistan,PK,,False,Connect Communication,25.8943,68.5247,False,WANGSU,True,Sindh,success,Asia/Karachi,68050,1790414026,1790483181.7568,10904,socks4,111.119.162.248:10904,True,1167.4513816833,72339,90455,44.435912871482,111.119.162.248
True,1790483060.3776,elite,3548.1774895625,1783182031.6347,AS45899 VNPT Corp,VNPT-AS-VN,Hanoi,Asia,AS,Vietnam,VN,,False,VietNam Post and Telecom Corporation,21.0278,105.834,False,Vietnam Posts and Telecommunications Group,True,Hanoi,success,Asia/Bangkok,,1790436367,1790483181.72,5678,socks4,113.166.93.239:5678,True,2160.4232788086,245838,168238,59.370260531883,113.166.93.239
True,1790483124.5383,elite,2164.6665324595,1751808901.0219,AS133481 AIS Fibre,AIS-Fibre-AS-AP,Bangkok,Asia,AS,Thailand,TH,,False,AIS-Fibre,13.7159,100.417,False,,False,Bangkok,success,Asia/Bangkok,10160,1790305878,1790483181.7185,4145,socks4,58.136.234.169:4145,True,1139.7130489349,6962,6090,53.340484216978,58.136.234.169
True,1790482954.0649,elite,3168.2719765217,1776079842.6039,AS27837 Dialnet de Colombia S.A. E.S.P.,Dialnet de Colombia S.A. E.S.P.,Santa Marta,South America,SA,Colombia,CO,,False,Dialnet de Colombia S.A. E.S.P,11.2399,-74.1951,False,Dialnet de Colombia S.A. E.S.P,True,Magdalena Department,success,America/Bogota,470001,1789988782,1790483181.6731,4153,socks4,186.1.182.194:4153,True,871.53601646423,337192,333094,50.305690406782,186.1.182.194
True,1790483181.6398,elite,3964.1960926218,1710575832.5007,AS4134 CHINANET BACKBONE,CHINANET-BACKBONE,Chengdu,Asia,AS,China,CN,,False,Chinanet,30.6667,104.0667,False,Chinanet SC,True,Sichuan,success,Asia/Shanghai,,1790096240,1790483181.6598,5678,socks4,222.212.85.149:5678,True,1460.7734680176,336672,1016583,24.87868140151,222.212.85.149
True,1790482916.6149,elite,8611.9112346869,1789288218.6453,AS219326 SULAVI LTD,SULAVIL,Eygelshoven,Europe,EU,The Netherlands,NL,,True,Secure Internet LLC,50.8933,6.05805,False,Internet Security - AU,True,Limburg,success,Europe/Amsterdam,6471,1789890074,1790483181.6419,16580,socks5,45.74.31.30:16580,True,521.01635932922,538,5390,9.0755735492578,45.74.31.30
True,1790482893.4564,elite,2250.0570448942,1790316319.1752,AS134874 Acme Diginet Corporation Pvt. Ltd,ACMEDIGINET-AS,Patna,Asia,AS,India,IN,Salimpur Ahra,False,Acme Diginet Corporation Pvt. Ltd,25.61,85.1427,False,Acme Diginet Corporation Pvt. Ltd.,False,Bihar,success,Asia/Kolkata,800028,1790315495,1790483181.6213,4145,socks4,146.196.63.234:4145,True,2389.0810012817,6607,3845,63.212782242633,146.196.63.234
True,1790221203.3714,elite,1721.190864612,1776079653.542,AS22773 Cox Communications Inc.,ASN-CXA-ALL-CCI-22773-RDC,Macon,North America,,United States,US,,False,Cox Communications Inc.,32.8407,-83.6324,False,Cox Communications Inc.,True,Georgia,success,America/New_York,31202,1789988798,1790483181.5653,4145,socks4,184.182.240.211:4145,True,2021.9416618347,1134990,1149,99.898868008228,184.182.240.211
True,1790483157.2961,elite,2215.1686793274,1783224913.7814,"AS5610 O2 Czech Republic, a.s.",O2-CZECH-REPUBLIC,Prague,Europe,EU,Czechia,CZ,,False,"Telefonica O2 Czech Republic, a.s.",50.0985,14.4524,False,CZ.CZNET,True,Prague,success,Europe/Prague,186 00,1790481222,1790483181.4715,4153,socks4,90.178.216.215:4153,True,210.05487442017,104555,194202,34.996669534103,90.178.216.215
